Week Day,Date In,Weight In (kg),Weight out (kg),Est. CO2-e Produced if landfill (ton),Est. Energy Use (kWh),Est. CO2-e Produced by Dehydrator (ton),Reduction (CO2-e Ton),Reduction (%),Cumulative CO2-e Produced (ton),Cumulative CO2-e Reduction (ton),Black Ballon Produced per Cycle,Cumulative CO2-e Produced (Black Balloons),Cumulative CO2-e Reduction (Black Balloons)
Friday,09/12/2016,,,,,,,,,,,,
Saturday,10/12/2016,,,,,,,,,,,,
Sunday,11/12/2016,611.1,187.3,0.978,427.8,0.577,0.4,40.94,114.35,79.26,11550,2286959,1585141
Monday,12/12/2016,595.3,197.3,0.952,416.7,0.563,0.39,40.94,114.91,79.65,11251,2298210,1592939
Tuesday,13/12/2016,,,,,,,,,,,,
Wednesday,14/12/2016,582,242.3,0.931,407.4,0.55,0.381,40.94,115.46,80.03,11000,2309210,1600563
Thursday,15/12/2016,,,,,,,,,,,,
Friday,16/12/2016,,,,,,,,,,,,
Saturday,17/12/2016,599,247.8,0.958,419.3,0.566,0.392,40.94,116.03,80.42,11321,2320531,1608410
Sunday,18/12/2016,,,,,,,,,,,,
Monday,19/12/2016,564.9,215.7,0.904,395.4,0.534,0.37,40.94,116.56,80.79,10677,2331207,1615810
Tuesday,20/12/2016,,,,,,,,,,,,
Wednesday,21/12/2016,,,,,,,,,,,,
Thursday,22/12/2016,596.3,224.5,0.954,417.4,0.564,0.391,40.94,117.12,81.18,11270,2342477,1623622
Friday,23/12/2016,,,,,,,,,,,,
Saturday,24/12/2016,,,,,,,,,,,,
Sunday,25/12/2016,572.5,257.6,0.916,400.8,0.541,0.375,40.94,117.66,81.56,10820,2353298,1631122
Monday,26/12/2016,,,,,,,,,,,,
Tuesday,27/12/2016,,,,,,,,,,,,
Wednesday,28/12/2016,,,,,,,,,,,,
Thursday,29/12/2016,,,,,,,,,,,,
Friday,30/12/2016,,,,,,,,,,,,
Saturday,31/12/2016,567.1,213.3,0.907,397,0.536,0.371,40.94,118.2,81.93,10718,2364016,1638551
