Week Day,Date In,# 120 ltr Bins,Weight In (kg),Run time (hr),Date Ejected,Weight out (kg),Weight of Oversized (kg),Volume Out (ltr),Volume of Oversized (ltr),Volume In (ltr),Organics Density (kg/120 ltr),Mass Reduction,Volume Reduction,Weekly Weight In (kg),Weight Collected (kg),Est. CO2-e Produced if landfill (ton),Est. Energy Use (kWh),Est. CO2-e Produced by Dehydrator (ton),Total Monthly Weight In (kg),Total Monthly Weight Out (kg)
Thursday,02/25/2016 12:00:00 AM,10,600.1,10,26-Feb,210.3,23.3,340,30,1200,60.01,61,69,,,0.96,420.1,0.567,,
Friday,02/26/2016 12:00:00 AM,10,619.5,10,28-Feb,221.4,21.6,350,60,1200,61.95,61,66,,743.9,0.991,433.7,0.585,,
Saturday,02/27/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,02/28/2016 12:00:00 AM,8,575.6,10,29-Feb,169,22.4,300,50,960,71.95,67,64,,,0.921,402.9,0.544,,
Monday,02/29/2016 12:00:00 AM,10,596.4,10,1-Mar,191.7,19.2,330,50,1200,59.64,65,68,3004.3,,0.954,417.5,0.564,11355.1,3358.3
Tuesday,03/01/2016 12:00:00 AM,8.5,562.8,9.5,2-Mar,193.8,20.5,315,50,1020,66.21,62,64,,,0.9,394,0.532,,
Wednesday,03/02/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,03/03/2016 12:00:00 AM,10,608,11.5,5-Mar,168.2,12.1,290,30,1200,60.8,70,73,,,0.973,425.6,0.575,,
Friday,03/04/2016 12:00:00 AM,,,,,,,,,,,,,,986.2,,,,,
Saturday,03/05/2016 12:00:00 AM,10,607.5,10,6-Mar,209.4,20,300,30,1200,60.75,62,73,,,0.972,425.3,0.574,,
Sunday,03/06/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,03/07/2016 12:00:00 AM,11,627.8,10,8-Mar,232.6,32.2,380,60,1320,57.07,58,67,2374.7,,1.004,439.5,0.593,,
Tuesday,03/08/2016 12:00:00 AM,10.5,597,10,9-Mar,119.7,78.4,180,110,1260,56.86,67,77,,,0.955,417.9,0.564,,
Wednesday,03/09/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,03/10/2016 12:00:00 AM,9,587.8,12,12-Mar,168.4,27.1,250,30,1080,65.31,67,74,,,0.94,411.5,0.555,,
Friday,03/11/2016 12:00:00 AM,,,,,,,,,,,,,,729.9,,,,,
Saturday,03/12/2016 12:00:00 AM,11,793.4,13,15-Mar,280.7,24.4,480,40,1320,72.13,62,61,,,1.269,555.4,0.75,,
Sunday,03/13/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,03/14/2016 12:00:00 AM,,,,,,,,,,,,,2606,,,,,,
Tuesday,03/15/2016 12:00:00 AM,10,605.5,10,16-Mar,216.6,26.5,340,40,1200,60.55,60,68,,,0.969,423.9,0.572,,
Wednesday,03/16/2016 12:00:00 AM,9,586.4,13,17-Mar,131.5,10.6,190,20,1080,65.16,76,81,,,0.938,410.5,0.554,,
Thursday,03/17/2016 12:00:00 AM,10,618.3,10,18-Mar,209.4,21.1,370,40,1200,61.83,63,66,,,0.989,432.8,0.584,,
Friday,03/18/2016 12:00:00 AM,9,605.1,10,21-Mar,192.3,43.7,340,80,1080,67.23,61,61,,797.2,0.968,423.6,0.572,,
Saturday,03/19/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,03/20/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,03/21/2016 12:00:00 AM,9,600.4,10,22-Mar,234.9,22.4,430,50,1080,66.71,57,56,2415.3,,0.961,420.3,0.567,,
Tuesday,03/22/2016 12:00:00 AM,8,449.2,10,23-Mar,95.3,17.2,200,40,960,56.15,75,75,,,0.719,314.4,0.424,,
Wednesday,03/23/2016 12:00:00 AM,9,591.1,9.5,24-Mar,209.8,24.9,370,50,1080,65.68,60,61,,,0.946,413.8,0.559,,
Thursday,03/24/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,03/25/2016 12:00:00 AM,9,579.5,12,28-Mar,158.8,13.1,220,35,1080,64.39,70,76,,941.7,0.927,405.7,0.548,,
Saturday,03/26/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,03/27/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,03/28/2016 12:00:00 AM,10,599,10,29-Mar,202.2,20,470,50,1200,59.9,63,57,2220.2,,0.958,419.3,0.566,,
Tuesday,03/29/2016 12:00:00 AM,11,604.2,10,30-Mar,199.9,38.3,350,80,1320,54.93,61,67,,,0.967,422.9,0.571,,
Wednesday,03/30/2016 12:00:00 AM,10,605,10,1-Apr,214.2,26.3,360,50,1200,60.5,60,66,,,0.968,423.5,0.572,,
Thursday,03/31/2016 12:00:00 AM,10,593.3,10,2-Apr,178.4,32.8,310,70,1200,59.33,64,68,,,0.949,415.3,0.561,11421.3,3616.1
Friday,04/01/2016 12:00:00 AM,,,,,,,,,,,,,,775.1,,,,,
Saturday,04/02/2016 12:00:00 AM,9,592.8,10,3-Apr,210.8,20.6,350,40,1080,65.87,61,64,,,0.948,415,0.56,,
Sunday,04/03/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,04/04/2016 12:00:00 AM,,,,,,,,,,,,,2994.3,,,,,,
Tuesday,04/05/2016 12:00:00 AM,3,145.5,6.5,6-Apr,57.6,4.7,70,10,360,48.5,57,78,,,0.233,101.9,0.137,,
Wednesday,04/06/2016 12:00:00 AM,10,610,12,7-Apr,172.6,18.1,240,30,1200,61,69,78,,,0.976,427,0.576,,
Thursday,04/07/2016 12:00:00 AM,10,604.4,10,8-Apr,228.8,20.5,390,30,1200,60.44,59,65,,,0.967,423.1,0.571,,
Friday,04/08/2016 12:00:00 AM,10,615.3,10,11-Apr,233.7,24.4,380,60,1200,61.53,58,63,,619.4,0.984,430.7,0.581,,
Saturday,04/09/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,04/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,04/11/2016 12:00:00 AM,10.5,602.7,11.5,12-Apr,182.1,11.6,330,30,1260,57.4,68,71,1975.2,,0.964,421.9,0.57,,
Tuesday,04/12/2016 12:00:00 AM,10,604.7,10,13-Apr,212.1,23,360,30,1200,60.47,61,68,,,0.968,423.3,0.571,,
Wednesday,04/13/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,04/14/2016 12:00:00 AM,9,624,12.5,15-Apr,184.2,12.2,320,20,1080,69.33,69,69,,,0.998,436.8,0.59,,
Friday,04/15/2016 12:00:00 AM,10.5,604.7,10,16-Apr,277.1,19.6,370,40,1260,57.59,51,67,,856.7,0.968,423.3,0.571,,
Saturday,04/16/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,04/17/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,04/18/2016 12:00:00 AM,10,604.4,10,19-Apr,212.6,50,320,80,1200,60.44,57,67,2436.1,,0.967,423.1,0.571,,
Tuesday,04/19/2016 12:00:00 AM,10,618.2,11.5,20-Apr,163.5,16.7,300,40,1200,61.82,71,72,,,0.989,432.7,0.584,,
Wednesday,04/20/2016 12:00:00 AM,9,607.7,10,22-Apr,201.4,24,330,30,1080,67.52,63,67,,,0.972,425.4,0.574,,
Thursday,04/21/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,04/22/2016 12:00:00 AM,9,606.2,10,23-Apr,215.3,48,340,36,1080,67.36,57,65,,1038.8,0.97,424.3,0.573,,
Saturday,04/23/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,04/24/2016 12:00:00 AM,10,604,10,26-Apr,231,62.7,340,40,1200,60.4,51,68,,,0.966,422.8,0.571,,
Monday,04/25/2016 12:00:00 AM,,,,,,,,,,,,,3040.5,,,,,,
Tuesday,04/26/2016 12:00:00 AM,10,605.5,15.5,28-Apr,147.9,30.7,240,40,1200,60.55,71,77,,,0.969,423.9,0.572,,
Wednesday,04/27/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,04/28/2016 12:00:00 AM,10,617.1,10,29-Apr,206.8,54.8,360,60,1200,61.71,58,65,,,0.987,432,0.583,,
Saturday,04/30/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,9885.2,3137.5
Sunday,05/01/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
